"S","R","year"
100,142.309489489039,1
142.309489489039,254.901152121841,2
254.901152121841,2178.51695152585,3
2178.51695152585,942.71681112531,4
942.71681112531,862.463819386357,5
862.463819386357,4118.68685806752,6
4118.68685806752,1477.47981157215,7
1477.47981157215,234.431561011235,8
234.431561011235,220.220736111358,9
220.220736111358,270.474419968255,10
270.474419968255,1609.13990684592,11
1609.13990684592,1207.11774110313,12
1207.11774110313,1194.84422700717,13
1194.84422700717,892.14907598339,14
892.14907598339,428.818287048627,15
428.818287048627,3507.43407305636,16
3507.43407305636,1515.07678513497,17
1515.07678513497,116.724767243019,18
116.724767243019,563.204245715568,19
563.204245715568,406.089010932699,20
406.089010932699,197.368544162861,21
197.368544162861,318.34116594799,22
318.34116594799,184.178368247245,23
184.178368247245,183.066949071477,24
183.066949071477,202.338813929528,25
202.338813929528,74.3925836455814,26
74.3925836455814,457.789278232749,27
457.789278232749,703.140942433665,28
703.140942433665,224.324718245547,29
224.324718245547,1495.59384011282,30
1495.59384011282,1275.05193551964,31
1275.05193551964,602.22103359048,32
602.22103359048,1631.61105765764,33
1631.61105765764,2031.40757203394,34
2031.40757203394,1980.45324392962,35
1980.45324392962,1728.17896598044,36
1728.17896598044,1481.80200906081,37
1481.80200906081,781.181306752067,38
781.181306752067,531.491085931547,39
531.491085931547,436.293388740006,40
436.293388740006,295.336076912346,41
295.336076912346,402.148705662841,42
402.148705662841,161.311341803573,43
161.311341803573,3051.50129702218,44
3051.50129702218,3046.00545249612,45
3046.00545249612,295.998286398611,46
295.998286398611,331.286846107225,47
331.286846107225,328.466304107,48
328.466304107,1137.93881092309,49
1137.93881092309,727.463563322615,50
