cluster id,plant id,number,collector,notes
C,1,14,Cindy,
D,1,20,Cindy,
D,2,15,Cindy,
E,1,10,Cindy,
E,2,16,Cindy,
F,1,8,Cindy,bud
F,2,7,Cindy,bud
G,1,5,Cindy,bud
G,2,6,Cindy,bud
G,3,14,Cindy,
G,4,15,Cindy,
G,5,12,Cindy,
G,6,15,Cindy,
G,7,17,Cindy,
G,8,12,Cindy,
G,9,11,Cindy,
G,10,19,Cindy,
A,1,16,Maria,
A,2,17,Maria,
A,3,17,Maria,
A,4,18,Maria,
A,5,15,Maria,
B,1,18,Maria,
B,2,21,Maria,
B,3,19,Maria,
B,4,17,Maria,
B,5,17,Maria,
B,6,15,Maria,
B,7,16,Maria,
B,8,17,Maria,
H,1,18,Anna,
H,2,20,Anna,
H,3,19,Anna,
H,4,20,Anna,
H,5,20,Anna,
H,6,21,Anna,
H,7,12,Anna,bud
I,1,21,Anna,
I,2,19,Anna,
I,3,23,Anna,
I,4,14,Anna,bud
I,5,20,Anna,
I,6,20,Anna,
I,7,18,Anna,
I,8,18,Anna,
I,9,21,Anna,
I,10,19,Anna,
I,11,19,Anna,
I,12,16,Anna,
I,13,15,Anna,
I,14,18,Anna,
I,15,20,Anna,
I,16,19,Anna,
