simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
1,Beverton-Holt,alpha,4.94,Ricker,0.72,0.5,0.95,1.002,-85.42510121457491,4.94,0.2,-0.58
1,Beverton-Holt,b_for,-0.58,Ricker,-0.69,-0.87,-0.51,1.001,18.96551724137931,4.94,0.2,-0.58
1,Beverton-Holt,sigma,0.2,Ricker,0.43,0.35,0.54,1.001,115,4.94,0.2,-0.58
1,Beverton-Holt,alpha,4.94,Beverton-Holt,6.51,2.89,9.87,1.01,31.78137651821861,4.94,0.2,-0.58
1,Beverton-Holt,b_for,-0.58,Beverton-Holt,-0.55,-0.62,-0.48,1.001,-5.172413793103434,4.94,0.2,-0.58
1,Beverton-Holt,sigma,0.2,Beverton-Holt,0.24,0.2,0.3,1.001,19.99999999999999,4.94,0.2,-0.58
3,Beverton-Holt,alpha,5.33,Ricker,0.57,0.12,1.07,1.002,-89.30581613508443,5.33,1.2,-0.46
3,Beverton-Holt,b_for,-0.46,Ricker,-0.7,-1.19,-0.17,1.005,52.173913043478244,5.33,1.2,-0.46
3,Beverton-Holt,sigma,1.2,Ricker,1.49,1.21,1.87,1.002,24.16666666666667,5.33,1.2,-0.46
3,Beverton-Holt,alpha,5.33,Beverton-Holt,6.65,3.04,9.8,1.001,24.765478424015015,5.33,1.2,-0.46
3,Beverton-Holt,b_for,-0.46,Beverton-Holt,-0.64,-0.94,-0.34,1,39.130434782608695,5.33,1.2,-0.46
3,Beverton-Holt,sigma,1.2,Beverton-Holt,1.02,0.82,1.27,1,-14.999999999999995,5.33,1.2,-0.46
4,Beverton-Holt,alpha,5.26,Ricker,0.9,0.49,1.31,1.001,-82.88973384030417,5.26,1,-0.18
4,Beverton-Holt,b_for,-0.18,Ricker,-0.41,-0.73,-0.09,1,127.77777777777779,5.26,1,-0.18
4,Beverton-Holt,sigma,1,Ricker,1.05,0.85,1.3,1.001,5.000000000000004,5.26,1,-0.18
4,Beverton-Holt,alpha,5.26,Beverton-Holt,6.43,2.6,9.82,1.001,22.243346007604565,5.26,1,-0.18
4,Beverton-Holt,b_for,-0.18,Beverton-Holt,-0.26,-0.52,0.01,1,44.44444444444446,5.26,1,-0.18
4,Beverton-Holt,sigma,1,Beverton-Holt,0.88,0.71,1.1,1,-12,5.26,1,-0.18
6,Beverton-Holt,alpha,6.31,Ricker,0.55,0.11,1.02,1.003,-91.28367670364501,6.31,0.8,-1.35
6,Beverton-Holt,b_for,-1.35,Ricker,-1.23,-1.78,-0.67,1.005,-8.888888888888896,6.31,0.8,-1.35
6,Beverton-Holt,sigma,0.8,Ricker,1.42,1.14,1.77,0.999,77.49999999999997,6.31,0.8,-1.35
6,Beverton-Holt,alpha,6.31,Beverton-Holt,6.51,2.87,9.82,1,3.169572107765455,6.31,0.8,-1.35
6,Beverton-Holt,b_for,-1.35,Beverton-Holt,-1.38,-1.64,-1.12,1,2.2222222222222077,6.31,0.8,-1.35
6,Beverton-Holt,sigma,0.8,Beverton-Holt,0.88,0.71,1.09,1,9.999999999999995,6.31,0.8,-1.35
8,Beverton-Holt,alpha,4.05,Ricker,0.46,0.02,1.17,1,-88.64197530864197,4.05,1.8,-2.31
8,Beverton-Holt,b_for,-2.31,Ricker,-1.06,-1.92,-0.22,1.001,-54.112554112554115,4.05,1.8,-2.31
8,Beverton-Holt,sigma,1.8,Ricker,2.86,2.3,3.63,1.001,58.88888888888888,4.05,1.8,-2.31
8,Beverton-Holt,alpha,4.05,Beverton-Holt,5.14,1.9,9.6,1.003,26.91358024691358,4.05,1.8,-2.31
8,Beverton-Holt,b_for,-2.31,Beverton-Holt,-2.02,-2.52,-1.47,1.001,-12.554112554112555,4.05,1.8,-2.31
8,Beverton-Holt,sigma,1.8,Beverton-Holt,1.71,1.36,2.16,1.001,-5.0000000000000036,4.05,1.8,-2.31
10,Beverton-Holt,alpha,4.52,Ricker,0.47,0.05,0.99,1.001,-89.60176991150443,4.52,1.3,-1.05
10,Beverton-Holt,b_for,-1.05,Ricker,-0.74,-1.3,-0.18,1,-29.52380952380953,4.52,1.3,-1.05
10,Beverton-Holt,sigma,1.3,Ricker,1.83,1.49,2.28,1.001,40.76923076923077,4.52,1.3,-1.05
10,Beverton-Holt,alpha,4.52,Beverton-Holt,5.78,2.27,9.68,1.001,27.876106194690284,4.52,1.3,-1.05
10,Beverton-Holt,b_for,-1.05,Beverton-Holt,-1.05,-1.42,-0.67,1,-0,4.52,1.3,-1.05
10,Beverton-Holt,sigma,1.3,Beverton-Holt,1.29,1.05,1.62,1.001,-0.7692307692307699,4.52,1.3,-1.05
11,Beverton-Holt,alpha,5.74,Ricker,1.06,0.65,1.47,1.001,-81.53310104529616,5.74,0.8,0.25
11,Beverton-Holt,b_for,0.25,Ricker,0.11,-0.16,0.39,1,-56.00000000000001,5.74,0.8,0.25
11,Beverton-Holt,sigma,0.8,Ricker,0.91,0.73,1.13,1.002,13.749999999999996,5.74,0.8,0.25
11,Beverton-Holt,alpha,5.74,Beverton-Holt,6.18,2.38,9.81,1,7.665505226480827,5.74,0.8,0.25
11,Beverton-Holt,b_for,0.25,Beverton-Holt,0.15,-0.09,0.38,1.001,-40,5.74,0.8,0.25
11,Beverton-Holt,sigma,0.8,Beverton-Holt,0.8,0.65,0.99,1,0,5.74,0.8,0.25
13,Beverton-Holt,alpha,5.42,Ricker,0.37,0.03,0.84,1.002,-93.17343173431735,5.42,1.4,1.15
13,Beverton-Holt,b_for,1.15,Ricker,0.21,-0.25,0.68,1.001,-81.73913043478261,5.42,1.4,1.15
13,Beverton-Holt,sigma,1.4,Ricker,1.59,1.29,1.98,1.001,13.571428571428585,5.42,1.4,1.15
13,Beverton-Holt,alpha,5.42,Beverton-Holt,6.87,2.8,9.84,1.004,26.75276752767528,5.42,1.4,1.15
13,Beverton-Holt,b_for,1.15,Beverton-Holt,1.34,0.89,1.72,1.002,16.5217391304348,5.42,1.4,1.15
13,Beverton-Holt,sigma,1.4,Beverton-Holt,1.25,1,1.57,1.001,-10.714285714285708,5.42,1.4,1.15
14,Beverton-Holt,alpha,5.71,Ricker,0.32,0.02,0.72,1.001,-94.39579684763572,5.71,0.7,-1.45
14,Beverton-Holt,b_for,-1.45,Ricker,-0.82,-1.28,-0.35,1.003,-43.44827586206897,5.71,0.7,-1.45
14,Beverton-Holt,sigma,0.7,Ricker,1.38,1.11,1.72,1.001,97.14285714285715,5.71,0.7,-1.45
14,Beverton-Holt,alpha,5.71,Beverton-Holt,6.81,3.17,9.85,1,19.264448336252183,5.71,0.7,-1.45
14,Beverton-Holt,b_for,-1.45,Beverton-Holt,-1.4,-1.62,-1.18,1,-3.448275862068969,5.71,0.7,-1.45
14,Beverton-Holt,sigma,0.7,Beverton-Holt,0.74,0.6,0.92,1.001,5.71428571428572,5.71,0.7,-1.45
17,Beverton-Holt,alpha,4.52,Ricker,0.84,0.24,1.47,1.001,-81.41592920353983,4.52,1.8,0.15
17,Beverton-Holt,b_for,0.15,Ricker,-0.15,-0.68,0.37,1.001,-200,4.52,1.8,0.15
17,Beverton-Holt,sigma,1.8,Ricker,1.82,1.48,2.3,1,1.111111111111112,4.52,1.8,0.15
17,Beverton-Holt,alpha,4.52,Beverton-Holt,5.54,1.94,9.7,1.001,22.56637168141594,4.52,1.8,0.15
17,Beverton-Holt,b_for,0.15,Beverton-Holt,-0.18,-0.62,0.25,1,-219.99999999999997,4.52,1.8,0.15
17,Beverton-Holt,sigma,1.8,Beverton-Holt,1.49,1.2,1.87,1.002,-17.222222222222225,4.52,1.8,0.15
18,Beverton-Holt,alpha,5.51,Ricker,0.6,0.06,1.24,1.002,-89.11070780399274,5.51,1.6,0.08
18,Beverton-Holt,b_for,0.08,Ricker,-0.17,-0.76,0.43,1,-312.5,5.51,1.6,0.08
18,Beverton-Holt,sigma,1.6,Ricker,2.07,1.69,2.58,1,29.374999999999982,5.51,1.6,0.08
18,Beverton-Holt,alpha,5.51,Beverton-Holt,6.43,2.62,9.81,1,16.696914700544465,5.51,1.6,0.08
18,Beverton-Holt,b_for,0.08,Beverton-Holt,0.17,-0.29,0.63,1.001,112.50000000000001,5.51,1.6,0.08
18,Beverton-Holt,sigma,1.6,Beverton-Holt,1.59,1.27,2,1,-0.6250000000000006,5.51,1.6,0.08
21,Beverton-Holt,alpha,5.9,Ricker,0.59,0.07,1.23,1.002,-90,5.9,1.9,-0.26
21,Beverton-Holt,b_for,-0.26,Ricker,-0.2,-0.8,0.39,1,-23.076923076923077,5.9,1.9,-0.26
21,Beverton-Holt,sigma,1.9,Ricker,2.07,1.68,2.6,1.001,8.947368421052628,5.9,1.9,-0.26
21,Beverton-Holt,alpha,5.9,Beverton-Holt,5.26,1.39,9.72,1.002,-10.847457627118652,5.9,1.9,-0.26
21,Beverton-Holt,b_for,-0.26,Beverton-Holt,-0.29,-0.77,0.2,1,11.538461538461528,5.9,1.9,-0.26
21,Beverton-Holt,sigma,1.9,Beverton-Holt,1.71,1.38,2.14,1.002,-9.999999999999996,5.9,1.9,-0.26
22,Beverton-Holt,alpha,4.99,Ricker,0.7,0.16,1.26,1.002,-85.97194388777555,4.99,1.3,-0.2
22,Beverton-Holt,b_for,-0.2,Ricker,-0.24,-0.74,0.25,1.001,19.99999999999999,4.99,1.3,-0.2
22,Beverton-Holt,sigma,1.3,Ricker,1.72,1.39,2.18,1,32.3076923076923,4.99,1.3,-0.2
22,Beverton-Holt,alpha,4.99,Beverton-Holt,4.6,1.13,9.71,1.001,-7.815631262525061,4.99,1.3,-0.2
22,Beverton-Holt,b_for,-0.2,Beverton-Holt,-0.18,-0.64,0.28,1,-10.000000000000009,4.99,1.3,-0.2
22,Beverton-Holt,sigma,1.3,Beverton-Holt,1.59,1.28,1.99,1.001,22.30769230769231,4.99,1.3,-0.2
23,Beverton-Holt,alpha,5.1,Ricker,0.96,0.29,1.66,1.002,-81.17647058823529,5.1,1.4,-0.2
23,Beverton-Holt,b_for,-0.2,Ricker,-0.38,-0.94,0.18,1,90,5.1,1.4,-0.2
23,Beverton-Holt,sigma,1.4,Ricker,1.96,1.58,2.46,1.001,40.00000000000001,5.1,1.4,-0.2
23,Beverton-Holt,alpha,5.1,Beverton-Holt,6.29,2.39,9.78,1,23.333333333333343,5.1,1.4,-0.2
23,Beverton-Holt,b_for,-0.2,Beverton-Holt,-0.28,-0.74,0.18,1,40.00000000000001,5.1,1.4,-0.2
23,Beverton-Holt,sigma,1.4,Beverton-Holt,1.59,1.29,2,1.001,13.571428571428585,5.1,1.4,-0.2
