simulation,data_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for,alpha_estimate,sigma_estimate,b_for_estimate
3,Beverton-Holt,alpha,1.85,Ricker,0.47,0.07,0.93,1.002,-74.5945945945946,1.85,1.2,-0.46,0.47,1.35,-0.62
3,Beverton-Holt,b_for,-0.46,Ricker,-0.62,-1.07,-0.16,1.002,34.78260869565217,1.85,1.2,-0.46,0.47,1.35,-0.62
3,Beverton-Holt,sigma,1.2,Ricker,1.35,1.1,1.68,1.002,12.500000000000012,1.85,1.2,-0.46,0.47,1.35,-0.62
3,Beverton-Holt,alpha,1.85,Beverton-Holt,6.1,2.31,9.8,1.002,229.7297297297297,1.85,1.2,-0.46,6.1,0.97,-0.65
3,Beverton-Holt,b_for,-0.46,Beverton-Holt,-0.65,-0.94,-0.35,1,41.30434782608695,1.85,1.2,-0.46,6.1,0.97,-0.65
3,Beverton-Holt,sigma,1.2,Beverton-Holt,0.97,0.79,1.23,1.001,-19.166666666666668,1.85,1.2,-0.46,6.1,0.97,-0.65
4,Ricker,alpha,1.73,Ricker,1.68,1.36,2.01,1.001,-2.890173410404627,1.73,1,-0.18,1.68,0.88,-0.26
4,Ricker,b_for,-0.18,Ricker,-0.26,-0.53,-0.01,1,44.44444444444446,1.73,1,-0.18,1.68,0.88,-0.26
4,Ricker,sigma,1,Ricker,0.88,0.72,1.1,1.001,-12,1.73,1,-0.18,1.68,0.88,-0.26
4,Ricker,alpha,1.73,Beverton-Holt,5.57,1.18,9.79,1.001,221.96531791907518,1.73,1,-0.18,5.57,2.37,-0.27
4,Ricker,b_for,-0.18,Beverton-Holt,-0.27,-0.96,0.4,1,50.000000000000014,1.73,1,-0.18,5.57,2.37,-0.27
4,Ricker,sigma,1,Beverton-Holt,2.37,1.95,2.98,1.001,137,1.73,1,-0.18,5.57,2.37,-0.27
8,Beverton-Holt,alpha,6.77,Ricker,0.41,0.03,1.23,1,-93.94387001477105,6.77,1.8,-2.31,0.41,2.91,-1.04
8,Beverton-Holt,b_for,-2.31,Ricker,-1.04,-1.9,-0.16,1,-54.97835497835498,6.77,1.8,-2.31,0.41,2.91,-1.04
8,Beverton-Holt,sigma,1.8,Ricker,2.91,2.37,3.74,1.001,61.66666666666667,6.77,1.8,-2.31,0.41,2.91,-1.04
8,Beverton-Holt,alpha,6.77,Beverton-Holt,6.03,2.32,9.82,1.002,-10.930576070901024,6.77,1.8,-2.31,6.03,1.69,-2
8,Beverton-Holt,b_for,-2.31,Beverton-Holt,-2,-2.48,-1.47,1.001,-13.419913419913422,6.77,1.8,-2.31,6.03,1.69,-2
8,Beverton-Holt,sigma,1.8,Beverton-Holt,1.69,1.37,2.17,1.001,-6.111111111111117,6.77,1.8,-2.31,6.03,1.69,-2
11,Beverton-Holt,alpha,1.53,Ricker,0.36,0.02,1.03,1,-76.47058823529412,1.53,2,0.31,0.36,2.61,0.09
11,Beverton-Holt,b_for,0.31,Ricker,0.09,-0.63,0.82,1.001,-70.96774193548387,1.53,2,0.31,0.36,2.61,0.09
11,Beverton-Holt,sigma,2,Ricker,2.61,2.13,3.29,1.001,30.499999999999993,1.53,2,0.31,0.36,2.61,0.09
11,Beverton-Holt,alpha,1.53,Beverton-Holt,1.17,0.08,2.83,1.004,-23.529411764705888,1.53,2,0.31,1.17,2.3,0.12
11,Beverton-Holt,b_for,0.31,Beverton-Holt,0.12,-0.57,0.78,1.003,-61.29032258064516,1.53,2,0.31,1.17,2.3,0.12
11,Beverton-Holt,sigma,2,Beverton-Holt,2.3,1.82,3.01,1.005,14.999999999999991,1.53,2,0.31,1.17,2.3,0.12
14,Beverton-Holt,alpha,2.62,Ricker,0.28,0.03,0.66,1,-89.31297709923663,2.62,0.7,-1.45,0.28,1.29,-0.72
14,Beverton-Holt,b_for,-1.45,Ricker,-0.72,-1.14,-0.31,1.001,-50.3448275862069,2.62,0.7,-1.45,0.28,1.29,-0.72
14,Beverton-Holt,sigma,0.7,Ricker,1.29,1.05,1.63,1.001,84.2857142857143,2.62,0.7,-1.45,0.28,1.29,-0.72
14,Beverton-Holt,alpha,2.62,Beverton-Holt,5.91,2.5,9.82,1.004,125.57251908396947,2.62,0.7,-1.45,5.91,0.72,-1.43
14,Beverton-Holt,b_for,-1.45,Beverton-Holt,-1.43,-1.64,-1.21,1.001,-1.3793103448275874,2.62,0.7,-1.45,5.91,0.72,-1.43
14,Beverton-Holt,sigma,0.7,Beverton-Holt,0.72,0.59,0.9,1.002,2.85714285714286,2.62,0.7,-1.45,5.91,0.72,-1.43
15,Beverton-Holt,alpha,3.42,Ricker,0.69,0.25,1.1,1.002,-79.82456140350877,3.42,1,0.52,0.69,1.08,0.07
15,Beverton-Holt,b_for,0.52,Ricker,0.07,-0.25,0.4,1,-86.53846153846153,3.42,1,0.52,0.69,1.08,0.07
15,Beverton-Holt,sigma,1,Ricker,1.08,0.89,1.36,1,8.000000000000007,3.42,1,0.52,0.69,1.08,0.07
15,Beverton-Holt,alpha,3.42,Beverton-Holt,4.71,1.33,9.72,1.003,37.719298245614034,3.42,1,0.52,4.71,0.98,0.28
15,Beverton-Holt,b_for,0.52,Beverton-Holt,0.28,-0.03,0.58,1.001,-46.15384615384615,3.42,1,0.52,4.71,0.98,0.28
15,Beverton-Holt,sigma,1,Beverton-Holt,0.98,0.8,1.22,1.002,-2.0000000000000018,3.42,1,0.52,4.71,0.98,0.28
17,Beverton-Holt,alpha,0.24,Ricker,0.26,0.01,0.7,1.002,8.333333333333341,0.24,1.8,0.15,0.26,1.49,-0.17
17,Beverton-Holt,b_for,0.15,Ricker,-0.17,-0.59,0.27,1.001,-213.33333333333334,0.24,1.8,0.15,0.26,1.49,-0.17
17,Beverton-Holt,sigma,1.8,Ricker,1.49,1.22,1.86,1.002,-17.222222222222225,0.24,1.8,0.15,0.26,1.49,-0.17
17,Beverton-Holt,alpha,0.24,Beverton-Holt,0.38,0.03,1.04,1.003,58.33333333333334,0.24,1.8,0.15,0.38,1.47,-0.2
17,Beverton-Holt,b_for,0.15,Beverton-Holt,-0.2,-0.67,0.25,1.002,-233.33333333333334,0.24,1.8,0.15,0.38,1.47,-0.2
17,Beverton-Holt,sigma,1.8,Beverton-Holt,1.47,1.21,1.86,1.005,-18.333333333333336,0.24,1.8,0.15,0.38,1.47,-0.2
18,Beverton-Holt,alpha,1.85,Ricker,0.51,0.05,1.11,1,-72.43243243243244,1.85,1.6,0.08,0.51,1.89,-0.06
18,Beverton-Holt,b_for,0.08,Ricker,-0.06,-0.59,0.49,1.001,-175.00000000000003,1.85,1.6,0.08,0.51,1.89,-0.06
18,Beverton-Holt,sigma,1.6,Ricker,1.89,1.55,2.39,1.001,18.12499999999999,1.85,1.6,0.08,0.51,1.89,-0.06
18,Beverton-Holt,alpha,1.85,Beverton-Holt,5.78,1.94,9.8,1.003,212.43243243243242,1.85,1.6,0.08,5.78,1.53,0.25
18,Beverton-Holt,b_for,0.08,Beverton-Holt,0.25,-0.18,0.7,1.001,212.5,1.85,1.6,0.08,5.78,1.53,0.25
18,Beverton-Holt,sigma,1.6,Beverton-Holt,1.53,1.25,1.93,1,-4.3750000000000036,1.85,1.6,0.08,5.78,1.53,0.25
19,Beverton-Holt,alpha,2.35,Ricker,0.75,0.2,1.33,1.001,-68.08510638297872,2.35,1.6,-0.44,0.75,1.78,-0.49
19,Beverton-Holt,b_for,-0.44,Ricker,-0.49,-1.01,0.04,1.001,11.363636363636362,2.35,1.6,-0.44,0.75,1.78,-0.49
19,Beverton-Holt,sigma,1.6,Ricker,1.78,1.46,2.27,1,11.249999999999995,2.35,1.6,-0.44,0.75,1.78,-0.49
19,Beverton-Holt,alpha,2.35,Beverton-Holt,6.32,2.42,9.79,1,168.93617021276594,2.35,1.6,-0.44,6.32,1.5,-0.25
19,Beverton-Holt,b_for,-0.44,Beverton-Holt,-0.25,-0.69,0.18,1,-43.18181818181818,2.35,1.6,-0.44,6.32,1.5,-0.25
19,Beverton-Holt,sigma,1.6,Beverton-Holt,1.5,1.23,1.89,1,-6.250000000000005,2.35,1.6,-0.44,6.32,1.5,-0.25
20,Beverton-Holt,alpha,1.59,Ricker,0.38,0.13,0.63,1.003,-76.1006289308176,1.59,0.5,-0.65,0.38,0.66,-0.58
20,Beverton-Holt,b_for,-0.65,Ricker,-0.58,-0.82,-0.34,1.004,-10.769230769230779,1.59,0.5,-0.65,0.38,0.66,-0.58
20,Beverton-Holt,sigma,0.5,Ricker,0.66,0.54,0.85,1,32.00000000000001,1.59,0.5,-0.65,0.38,0.66,-0.58
20,Beverton-Holt,alpha,1.59,Beverton-Holt,2.34,1.24,9.05,1.005,47.1698113207547,1.59,0.5,-0.65,2.34,0.49,-0.68
20,Beverton-Holt,b_for,-0.65,Beverton-Holt,-0.68,-0.83,-0.53,1.001,4.615384615384619,1.59,0.5,-0.65,2.34,0.49,-0.68
20,Beverton-Holt,sigma,0.5,Beverton-Holt,0.49,0.4,0.62,1,-2.0000000000000018,1.59,0.5,-0.65,2.34,0.49,-0.68
23,Beverton-Holt,alpha,3.95,Ricker,0.6,0.11,1.17,1,-84.81012658227847,3.95,1.3,-1.02,0.6,1.7,-1
23,Beverton-Holt,b_for,-1.02,Ricker,-1,-1.62,-0.38,1.002,-1.960784313725492,3.95,1.3,-1.02,0.6,1.7,-1
23,Beverton-Holt,sigma,1.3,Ricker,1.7,1.38,2.16,1,30.769230769230763,3.95,1.3,-1.02,0.6,1.7,-1
23,Beverton-Holt,alpha,3.95,Beverton-Holt,6.4,2.66,9.85,1.001,62.025316455696206,3.95,1.3,-1.02,6.4,1.26,-0.92
23,Beverton-Holt,b_for,-1.02,Beverton-Holt,-0.92,-1.3,-0.54,1.001,-9.80392156862745,3.95,1.3,-1.02,6.4,1.26,-0.92
23,Beverton-Holt,sigma,1.3,Beverton-Holt,1.26,1.03,1.59,1,-3.0769230769230798,3.95,1.3,-1.02,6.4,1.26,-0.92
24,Beverton-Holt,alpha,2.06,Ricker,0.76,0.42,1.1,1,-63.10679611650485,2.06,0.7,-0.63,0.76,0.79,-0.79
24,Beverton-Holt,b_for,-0.63,Ricker,-0.79,-1.08,-0.49,1.002,25.396825396825403,2.06,0.7,-0.63,0.76,0.79,-0.79
24,Beverton-Holt,sigma,0.7,Ricker,0.79,0.64,1,1.001,12.857142857142868,2.06,0.7,-0.63,0.76,0.79,-0.79
24,Beverton-Holt,alpha,2.06,Beverton-Holt,5.97,2.33,9.81,1,189.8058252427184,2.06,0.7,-0.63,5.97,0.61,-0.65
24,Beverton-Holt,b_for,-0.63,Beverton-Holt,-0.65,-0.83,-0.47,1.001,3.1746031746031775,2.06,0.7,-0.63,5.97,0.61,-0.65
24,Beverton-Holt,sigma,0.7,Beverton-Holt,0.61,0.5,0.76,1.001,-12.857142857142852,2.06,0.7,-0.63,5.97,0.61,-0.65
26,Beverton-Holt,alpha,2.86,Ricker,0.64,0.25,1.06,1.001,-77.62237762237761,2.86,1.1,-0.98,0.64,1.09,-0.79
26,Beverton-Holt,b_for,-0.98,Ricker,-0.79,-1.18,-0.4,1.001,-19.38775510204081,2.86,1.1,-0.98,0.64,1.09,-0.79
26,Beverton-Holt,sigma,1.1,Ricker,1.09,0.89,1.38,1.001,-0.9090909090909098,2.86,1.1,-0.98,0.64,1.09,-0.79
26,Beverton-Holt,alpha,2.86,Beverton-Holt,3.64,1.18,9.59,1,27.272727272727284,2.86,1.1,-0.98,3.64,0.92,-0.74
26,Beverton-Holt,b_for,-0.98,Beverton-Holt,-0.74,-1.01,-0.47,1.002,-24.489795918367346,2.86,1.1,-0.98,3.64,0.92,-0.74
26,Beverton-Holt,sigma,1.1,Beverton-Holt,0.92,0.75,1.16,1.002,-16.363636363636367,2.86,1.1,-0.98,3.64,0.92,-0.74
27,Beverton-Holt,alpha,2.62,Ricker,0.35,0.15,0.53,1,-86.6412213740458,2.62,0,-1.09,0.35,0.56,-0.78
27,Beverton-Holt,b_for,-1.09,Ricker,-0.78,-1,-0.55,1.002,-28.44036697247707,2.62,0,-1.09,0.35,0.56,-0.78
27,Beverton-Holt,sigma,0,Ricker,0.56,0.45,0.7,1.002,Inf,2.62,0,-1.09,0.35,0.56,-0.78
27,Beverton-Holt,alpha,2.62,Beverton-Holt,2.62,2.6,2.64,1.004,0,2.62,0,-1.09,2.62,0,-1.09
27,Beverton-Holt,b_for,-1.09,Beverton-Holt,-1.09,-1.09,-1.09,1,-0,2.62,0,-1.09,2.62,0,-1.09
27,Beverton-Holt,sigma,0,Beverton-Holt,0,0,0.01,1.001,NA,2.62,0,-1.09,2.62,0,-1.09
28,Beverton-Holt,alpha,3.85,Ricker,1.04,0.45,1.64,1,-72.98701298701299,3.85,2,-0.24,1.04,1.6,-0.74
28,Beverton-Holt,b_for,-0.24,Ricker,-0.74,-1.24,-0.23,1,208.33333333333334,3.85,2,-0.24,1.04,1.6,-0.74
28,Beverton-Holt,sigma,2,Ricker,1.6,1.31,2.02,1,-19.999999999999996,3.85,2,-0.24,1.04,1.6,-0.74
28,Beverton-Holt,alpha,3.85,Beverton-Holt,5.27,1.76,9.74,1,36.88311688311687,3.85,2,-0.24,5.27,1.44,-0.45
28,Beverton-Holt,b_for,-0.24,Beverton-Holt,-0.45,-0.87,-0.03,1,87.50000000000001,3.85,2,-0.24,5.27,1.44,-0.45
28,Beverton-Holt,sigma,2,Beverton-Holt,1.44,1.18,1.84,1,-28.000000000000004,3.85,2,-0.24,5.27,1.44,-0.45
29,Beverton-Holt,alpha,1.19,Ricker,0.17,0.01,0.4,1.002,-85.71428571428572,1.19,0.1,-1.61,0.17,0.74,-0.81
29,Beverton-Holt,b_for,-1.61,Ricker,-0.81,-1.08,-0.54,1.003,-49.689440993788814,1.19,0.1,-1.61,0.17,0.74,-0.81
29,Beverton-Holt,sigma,0.1,Ricker,0.74,0.6,0.93,1,640,1.19,0.1,-1.61,0.17,0.74,-0.81
29,Beverton-Holt,alpha,1.19,Beverton-Holt,1.23,1.14,1.31,1,3.361344537815129,1.19,0.1,-1.61,1.23,0.13,-1.64
