simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
1,Beverton-Holt,alpha,2.29,Ricker,0.57,0.37,0.78,1.001,-75.10917030567687,2.29,0.2,-0.58
1,Beverton-Holt,b_for,-0.58,Ricker,-0.57,-0.73,-0.42,1.001,-1.7241379310344844,2.29,0.2,-0.58
1,Beverton-Holt,sigma,0.2,Ricker,0.41,0.33,0.51,1.001,104.99999999999997,2.29,0.2,-0.58
1,Beverton-Holt,alpha,2.29,Beverton-Holt,2.69,1.76,6.08,1.013,17.46724890829694,2.29,0.2,-0.58
1,Beverton-Holt,b_for,-0.58,Beverton-Holt,-0.55,-0.63,-0.48,1,-5.172413793103434,2.29,0.2,-0.58
1,Beverton-Holt,sigma,0.2,Beverton-Holt,0.25,0.2,0.31,1.001,24.999999999999993,2.29,0.2,-0.58
3,Beverton-Holt,alpha,1.13,Ricker,0.44,0.08,0.85,1.004,-61.061946902654874,1.13,1.2,-0.46
3,Beverton-Holt,b_for,-0.46,Ricker,-0.62,-1.03,-0.19,1,34.78260869565217,1.13,1.2,-0.46
3,Beverton-Holt,sigma,1.2,Ricker,1.27,1.03,1.58,1.002,5.833333333333338,1.13,1.2,-0.46
3,Beverton-Holt,alpha,1.13,Beverton-Holt,5.26,1.67,9.7,1.003,365.48672566371687,1.13,1.2,-0.46
3,Beverton-Holt,b_for,-0.46,Beverton-Holt,-0.69,-0.98,-0.4,1.002,49.999999999999986,1.13,1.2,-0.46
3,Beverton-Holt,sigma,1.2,Beverton-Holt,0.97,0.78,1.21,1,-19.166666666666668,1.13,1.2,-0.46
4,Beverton-Holt,alpha,1.06,Ricker,0.77,0.42,1.12,1.001,-27.358490566037737,1.06,1,-0.18
4,Beverton-Holt,b_for,-0.18,Ricker,-0.32,-0.59,-0.04,1,77.77777777777779,1.06,1,-0.18
4,Beverton-Holt,sigma,1,Ricker,0.86,0.7,1.08,1,-14.000000000000002,1.06,1,-0.18
4,Beverton-Holt,alpha,1.06,Beverton-Holt,2.21,0.73,7.89,1.005,108.49056603773583,1.06,1,-0.18
4,Beverton-Holt,b_for,-0.18,Beverton-Holt,-0.28,-0.54,-0.02,1,55.55555555555558,1.06,1,-0.18
4,Beverton-Holt,sigma,1,Beverton-Holt,0.88,0.7,1.11,1.001,-12,1.06,1,-0.18
6,Beverton-Holt,alpha,1.62,Ricker,0.54,0.16,0.9,1.002,-66.66666666666666,1.62,0.8,-1.35
6,Beverton-Holt,b_for,-1.35,Ricker,-1.21,-1.64,-0.77,1.001,-10.37037037037038,1.62,0.8,-1.35
6,Beverton-Holt,sigma,0.8,Ricker,1.02,0.83,1.27,1.001,27.499999999999993,1.62,0.8,-1.35
6,Beverton-Holt,alpha,1.62,Beverton-Holt,1.26,0.7,1.92,1.001,-22.222222222222225,1.62,0.8,-1.35
6,Beverton-Holt,b_for,-1.35,Beverton-Holt,-1.24,-1.55,-0.91,1.002,-8.148148148148156,1.62,0.8,-1.35
6,Beverton-Holt,sigma,0.8,Beverton-Holt,0.87,0.71,1.1,1.002,8.749999999999993,1.62,0.8,-1.35
11,Beverton-Holt,alpha,0.76,Ricker,0.61,0.28,0.95,1.003,-19.73684210526316,0.76,0.8,0.25
11,Beverton-Holt,b_for,0.25,Ricker,0.14,-0.12,0.41,1.002,-43.99999999999999,0.76,0.8,0.25
11,Beverton-Holt,sigma,0.8,Ricker,0.82,0.67,1.02,1.001,2.499999999999988,0.76,0.8,0.25
11,Beverton-Holt,alpha,0.76,Beverton-Holt,4.61,0.97,9.57,1.003,506.5789473684211,0.76,0.8,0.25
11,Beverton-Holt,b_for,0.25,Beverton-Holt,0.45,0.12,0.72,1.004,80,0.76,0.8,0.25
11,Beverton-Holt,sigma,0.8,Beverton-Holt,0.76,0.62,0.95,1.001,-5.000000000000004,0.76,0.8,0.25
14,Beverton-Holt,alpha,1.51,Ricker,0.24,0.02,0.57,1.001,-84.10596026490066,1.51,0.7,-1.45
14,Beverton-Holt,b_for,-1.45,Ricker,-0.66,-1.06,-0.28,1.003,-54.482758620689644,1.51,0.7,-1.45
14,Beverton-Holt,sigma,0.7,Ricker,1.2,0.97,1.48,1,71.42857142857143,1.51,0.7,-1.45
14,Beverton-Holt,alpha,1.51,Beverton-Holt,2.31,1.33,5.62,1.009,52.980132450331126,1.51,0.7,-1.45
14,Beverton-Holt,b_for,-1.45,Beverton-Holt,-1.46,-1.71,-1.22,1,0.6896551724137937,1.51,0.7,-1.45
14,Beverton-Holt,sigma,0.7,Beverton-Holt,0.73,0.59,0.93,1.001,4.28571428571429,1.51,0.7,-1.45
15,Ricker,alpha,1.91,Ricker,1.87,1.5,2.25,1,-2.0942408376963253,1.91,1,0.52
15,Ricker,b_for,0.52,Ricker,0.28,-0.01,0.57,1,-46.15384615384615,1.91,1,0.52
15,Ricker,sigma,1,Ricker,0.99,0.8,1.24,1.001,-1.0000000000000009,1.91,1,0.52
15,Ricker,alpha,1.91,Beverton-Holt,3.48,1.55,8.37,1.001,82.19895287958116,1.91,1,0.52
15,Ricker,b_for,0.52,Beverton-Holt,0.04,-0.46,0.53,1.001,-92.30769230769232,1.91,1,0.52
15,Ricker,sigma,1,Beverton-Holt,1.72,1.4,2.15,1,72,1.91,1,0.52
16,Beverton-Holt,alpha,1.27,Ricker,0.58,0.06,1.21,1.002,-54.33070866141732,1.27,2,-0.3
16,Beverton-Holt,b_for,-0.3,Ricker,-0.15,-0.75,0.45,1.003,-50,1.27,2,-0.3
16,Beverton-Holt,sigma,2,Ricker,2.11,1.72,2.64,1.002,5.499999999999994,1.27,2,-0.3
16,Beverton-Holt,alpha,1.27,Beverton-Holt,2.1,0.43,7.22,1.009,65.35433070866142,1.27,2,-0.3
16,Beverton-Holt,b_for,-0.3,Beverton-Holt,-0.16,-0.72,0.39,1.001,-46.666666666666664,1.27,2,-0.3
16,Beverton-Holt,sigma,2,Beverton-Holt,1.94,1.56,2.49,1.004,-3.0000000000000027,1.27,2,-0.3
17,Ricker,alpha,0.32,Ricker,0.37,0.03,0.85,1.003,15.624999999999996,0.32,1.8,0.15
17,Ricker,b_for,0.15,Ricker,-0.17,-0.63,0.29,0.999,-213.33333333333334,0.32,1.8,0.15
17,Ricker,sigma,1.8,Ricker,1.5,1.22,1.88,1.001,-16.666666666666668,0.32,1.8,0.15
17,Ricker,alpha,0.32,Beverton-Holt,0.57,0.06,1.23,1.001,78.12499999999997,0.32,1.8,0.15
17,Ricker,b_for,0.15,Beverton-Holt,-0.23,-0.67,0.22,1.003,-253.33333333333334,0.32,1.8,0.15
17,Ricker,sigma,1.8,Beverton-Holt,1.47,1.2,1.85,1.006,-18.333333333333336,0.32,1.8,0.15
18,Beverton-Holt,alpha,2.13,Ricker,0.55,0.07,1.14,1.001,-74.17840375586853,2.13,1.6,0.08
18,Beverton-Holt,b_for,0.08,Ricker,-0.09,-0.67,0.5,1.001,-212.5,2.13,1.6,0.08
18,Beverton-Holt,sigma,1.6,Ricker,1.94,1.57,2.43,1,21.24999999999999,2.13,1.6,0.08
18,Beverton-Holt,alpha,2.13,Beverton-Holt,5.97,2.01,9.75,1,180.2816901408451,2.13,1.6,0.08
18,Beverton-Holt,b_for,0.08,Beverton-Holt,0.24,-0.2,0.69,1,199.99999999999997,2.13,1.6,0.08
18,Beverton-Holt,sigma,1.6,Beverton-Holt,1.54,1.25,1.93,1.001,-3.750000000000003,2.13,1.6,0.08
20,Ricker,alpha,1.34,Ricker,1.35,1.15,1.55,1.003,0.7462686567164185,1.34,0.5,-0.65
20,Ricker,b_for,-0.65,Ricker,-0.64,-0.8,-0.48,1,-1.5384615384615399,1.34,0.5,-0.65
20,Ricker,sigma,0.5,Ricker,0.49,0.4,0.61,1,-2.0000000000000018,1.34,0.5,-0.65
20,Ricker,alpha,1.34,Beverton-Holt,3.6,1.44,8.72,1.003,168.65671641791042,1.34,0.5,-0.65
20,Ricker,b_for,-0.65,Beverton-Holt,-0.03,-0.38,0.32,1.001,-95.38461538461539,1.34,0.5,-0.65
20,Ricker,sigma,0.5,Beverton-Holt,1.12,0.9,1.39,1.001,124.00000000000003,1.34,0.5,-0.65
21,Beverton-Holt,alpha,1.11,Ricker,0.45,0.04,1,1,-59.45945945945947,1.11,1.9,-0.26
21,Beverton-Holt,b_for,-0.26,Ricker,-0.2,-0.71,0.3,1.002,-23.076923076923077,1.11,1.9,-0.26
21,Beverton-Holt,sigma,1.9,Ricker,1.74,1.4,2.16,1,-8.421052631578943,1.11,1.9,-0.26
21,Beverton-Holt,alpha,1.11,Beverton-Holt,0.62,0.06,1.41,1.005,-44.14414414414415,1.11,1.9,-0.26
21,Beverton-Holt,b_for,-0.26,Beverton-Holt,-0.24,-0.71,0.24,1.001,-7.692307692307699,1.11,1.9,-0.26
