simulation,data_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for,alpha_estimate,sigma_estimate,b_for_estimate
1,Beverton-Holt,alpha,1.6335786965290353,Beverton-Holt,0.39,0.05,0.92,1.028,-76.12603538301173,1.6335786965290353,1.2110001753087474,-1.8536412596776086,0.39,1.52,-1.59
1,Beverton-Holt,b_for,-1.8536412596776086,Beverton-Holt,-1.59,-1.99,-1.09,1.007,-14.222884730320576,1.6335786965290353,1.2110001753087474,-1.8536412596776086,0.39,1.52,-1.59
1,Beverton-Holt,sigma,1.2110001753087474,Beverton-Holt,1.52,1.19,1.88,1.047,25.516084224552024,1.6335786965290353,1.2110001753087474,-1.8536412596776086,0.39,1.52,-1.59
1,Beverton-Holt,alpha,1.6335786965290353,Ricker,1.09,0.5,1.71,1.002,-33.27532966021228,1.6335786965290353,1.2110001753087474,-1.8536412596776086,1.09,1.36,-1.81
1,Beverton-Holt,b_for,-1.8536412596776086,Ricker,-1.81,-2.22,-1.36,1.001,-2.3543530577863163,1.6335786965290353,1.2110001753087474,-1.8536412596776086,1.09,1.36,-1.81
1,Beverton-Holt,sigma,1.2110001753087474,Ricker,1.36,1.11,1.71,1,12.303864832493923,1.6335786965290353,1.2110001753087474,-1.8536412596776086,1.09,1.36,-1.81
2,Beverton-Holt,alpha,3.5392480852506125,Beverton-Holt,3.21,1.16,9.47,1.003,-9.302769326137776,3.5392480852506125,1.284440335044797,-1.4465622471177175,3.21,1.15,-1.2
2,Beverton-Holt,b_for,-1.4465622471177175,Beverton-Holt,-1.2,-1.54,-0.84,1.001,-17.044703579745295,3.5392480852506125,1.284440335044797,-1.4465622471177175,3.21,1.15,-1.2
2,Beverton-Holt,sigma,1.284440335044797,Beverton-Holt,1.15,0.93,1.45,1.001,-10.466841578912911,3.5392480852506125,1.284440335044797,-1.4465622471177175,3.21,1.15,-1.2
2,Beverton-Holt,alpha,3.5392480852506125,Ricker,0.88,0.28,1.43,1.005,-75.13596168442407,3.5392480852506125,1.284440335044797,-1.4465622471177175,0.88,1.29,-1.06
2,Beverton-Holt,b_for,-1.4465622471177175,Ricker,-1.06,-1.46,-0.67,1,-26.72282149544167,3.5392480852506125,1.284440335044797,-1.4465622471177175,0.88,1.29,-1.06
2,Beverton-Holt,sigma,1.284440335044797,Ricker,1.29,1.05,1.64,1.001,0.4328472723498744,3.5392480852506125,1.284440335044797,-1.4465622471177175,0.88,1.29,-1.06
3,Beverton-Holt,alpha,2.0684068774314435,Beverton-Holt,2,1.22,2.95,1.03,-3.307225390605519,2.0684068774314435,0.8327503879406113,-1.325672787982354,2,0.98,-1.19
3,Beverton-Holt,b_for,-1.325672787982354,Beverton-Holt,-1.19,-1.49,-0.84,1.003,-10.234259103171693,2.0684068774314435,0.8327503879406113,-1.325672787982354,2,0.98,-1.19
3,Beverton-Holt,sigma,0.8327503879406113,Beverton-Holt,0.98,0.79,1.25,1.014,17.682322841486325,2.0684068774314435,0.8327503879406113,-1.325672787982354,2,0.98,-1.19
3,Beverton-Holt,alpha,2.0684068774314435,Ricker,1.77,1.35,2.21,1.002,-14.426894470685882,2.0684068774314435,0.8327503879406113,-1.325672787982354,1.77,0.99,-1.16
3,Beverton-Holt,b_for,-1.325672787982354,Ricker,-1.16,-1.47,-0.86,1.001,-12.497260974520307,2.0684068774314435,0.8327503879406113,-1.325672787982354,1.77,0.99,-1.16
3,Beverton-Holt,sigma,0.8327503879406113,Ricker,0.99,0.81,1.25,1.001,18.883162870481083,2.0684068774314435,0.8327503879406113,-1.325672787982354,1.77,0.99,-1.16
4,Beverton-Holt,alpha,2.0388455476438,Beverton-Holt,5.26,1.42,9.72,1.001,157.98913537510185,2.0388455476438,0.7957562143741927,-0.6429375606941405,5.26,0.67,-0.68
4,Beverton-Holt,b_for,-0.6429375606941405,Beverton-Holt,-0.68,-0.88,-0.47,1,5.76454722381524,2.0388455476438,0.7957562143741927,-0.6429375606941405,5.26,0.67,-0.68
4,Beverton-Holt,sigma,0.7957562143741927,Beverton-Holt,0.67,0.55,0.85,1,-15.803359383513111,2.0388455476438,0.7957562143741927,-0.6429375606941405,5.26,0.67,-0.68
4,Beverton-Holt,alpha,2.0388455476438,Ricker,0.15,0.01,0.48,1.001,-92.64289537903703,2.0388455476438,0.7957562143741927,-0.6429375606941405,0.15,0.86,-0.51
4,Beverton-Holt,b_for,-0.6429375606941405,Ricker,-0.51,-0.78,-0.25,1,-20.676589582138575,2.0388455476438,0.7957562143741927,-0.6429375606941405,0.15,0.86,-0.51
4,Beverton-Holt,sigma,0.7957562143741927,Ricker,0.86,0.7,1.09,1.001,8.073299895789132,2.0388455476438,0.7957562143741927,-0.6429375606941405,0.15,0.86,-0.51
5,Beverton-Holt,alpha,3.5038040216371,Beverton-Holt,2.77,1.8,6.74,1.007,-20.943066938265595,3.5038040216371,1.0055304163995176,-0.6134435035638361,2.77,1.13,-0.24
