"true_alpha","prior_alpha","median_alpha"
1,1,0.959184152362604
1,2,1.11077487007051
1,3,1.35503878273428
1,4,1.99151097515305
1,5,4.30868010358456
1,6,5.86031603078534
1,7,6.94899644917644
1,8,7.99007165374197
2,1,1.71047641993463
2,2,2.07562922008853
2,3,2.75513255294406
2,4,3.68989236201588
2,5,4.86040932380345
2,6,5.93726140641402
2,7,6.96100900513292
2,8,8.00029245270337
3,1,2.09938748345761
3,2,2.52448972506996
3,3,3.15965544394413
3,4,3.98522456376471
3,5,4.94658206439399
3,6,5.97981554308823
3,7,7.00802096631614
3,8,8.00343713306416
4,1,2.20699472263726
4,2,2.63038655197307
4,3,3.24415204580157
4,4,4.04472501674202
4,5,4.98207988949165
4,6,5.99698434756012
4,7,6.98652850083443
4,8,8.00190617513948
5,1,2.25989244911842
5,2,2.70432885012544
5,3,3.29100175525738
5,4,4.06702474888641
5,5,4.99559779786664
5,6,6.0236241676093
5,7,6.97193979395691
5,8,8.01291080456288
6,1,2.27995423301895
6,2,2.73186772571606
6,3,3.32555156977898
6,4,4.15587521400686
6,5,5.06466487522142
6,6,6.02249712936095
6,7,7.01185171707758
6,8,7.98857078549584
7,1,2.29242046197736
7,2,2.72105995307293
7,3,3.34695949388772
7,4,4.08176372111605
7,5,5.03065525676874
7,6,6.02273510720018
7,7,6.98454248965919
7,8,8.01756320003252
8,1,2.2800758022016
8,2,2.72476761168163
8,3,3.32104055148322
8,4,4.09469314425553
8,5,5.01868106897933
8,6,5.99873099934194
8,7,7.00787197341599
8,8,8.01114105741392
