"true_alpha","prior_alpha","median_alpha","median_alpha_logR","median_alpha_log_inv_logit"
1,1,0.959184152362604,0.957218098087216,0.961379466235811
1,2,1.11077487007051,1.12050761476508,1.11053683509449
1,3,1.35503878273428,1.35533080729376,1.34235321613433
1,4,1.99151097515305,1.97020941633533,1.96497522591336
1,5,4.30868010358456,4.30392356865291,4.30808160229398
1,6,5.86031603078534,5.83621419308472,5.83432788671622
1,7,6.94899644917644,6.92488839891251,6.94647576568867
1,8,7.99007165374197,7.99244760152416,7.95926839585363
2,1,1.71047641993463,1.72981944853363,1.72850807581125
2,2,2.07562922008853,2.09513227224095,2.11294203158836
2,3,2.75513255294406,2.73500018792051,2.71298699884198
2,4,3.68989236201588,3.69607507124597,3.72268692594278
2,5,4.86040932380345,4.85332301327612,4.86283132208527
2,6,5.93726140641402,5.91154844722804,5.93159888163578
2,7,6.96100900513292,6.96183200527568,6.94931366995516
2,8,8.00029245270337,7.99738373066499,8.00662693003436
3,1,2.09938748345761,2.07066756081035,2.06110093086083
3,2,2.52448972506996,2.49312363097632,2.47245066889959
3,3,3.15965544394413,3.09731887239733,3.12693204535733
3,4,3.98522456376471,3.97402838478611,3.98975115194409
3,5,4.94658206439399,4.96627390941128,4.96961138224124
3,6,5.97981554308823,5.96325490355757,5.96729204815687
3,7,7.00802096631614,6.97788988700067,6.97651860688571
3,8,8.00343713306416,7.99878521424282,7.99009783907571
4,1,2.20699472263726,2.18141481423455,2.18222563438969
4,2,2.63038655197307,2.61144848741776,2.65124532862708
4,3,3.24415204580157,3.22817693648412,3.26195043152856
4,4,4.04472501674202,4.07351311211369,4.03125904745821
4,5,4.98207988949165,5.04046632483503,4.9896200623026
4,6,5.99698434756012,5.98995806340085,6.00134840829653
4,7,6.98652850083443,6.99251190559599,7.02816396721677
4,8,8.00190617513948,8.00302151582241,7.98432514869761
5,1,2.25989244911842,2.24898095513468,2.26482938724583
5,2,2.70432885012544,2.69407638965125,2.6973883736248
5,3,3.29100175525738,3.30869389177797,3.30781025976711
5,4,4.06702474888641,4.06190300403897,4.11709261603463
5,5,4.99559779786664,5.04068600244024,4.996215252662
5,6,6.0236241676093,5.98277100210575,5.99932033367243
5,7,6.97193979395691,7.00188914833634,7.01293362521101
5,8,8.01291080456288,7.9943393728209,8.01664786284054
6,1,2.27995423301895,2.27982832936922,2.26345216150999
6,2,2.73186772571606,2.70527960329098,2.72242220795632
6,3,3.32555156977898,3.34184311304968,3.32445838713128
6,4,4.15587521400686,4.09607658117597,4.09974734486476
6,5,5.06466487522142,5.06617828446698,5.02606161419153
6,6,6.02249712936095,6.0124940883785,5.98303613268695
6,7,7.01185171707758,6.99795244385679,7.00028630999955
6,8,7.98857078549584,7.99167963849012,8.01528915055782
7,1,2.29242046197736,2.29950893597834,2.29654564336912
7,2,2.72105995307293,2.72233934816955,2.76613486332301
7,3,3.34695949388772,3.29870163522855,3.31001522208109
7,4,4.08176372111605,4.11041956779501,4.1272941586772
7,5,5.03065525676874,5.04232103707586,5.03435439148478
7,6,6.02273510720018,6.00946125252546,6.01018439791361
7,7,6.98454248965919,6.98740122378629,6.97464870381001
7,8,8.01756320003252,8.01556341058743,7.9943399042746
8,1,2.2800758022016,2.29128346208378,2.27316922322737
8,2,2.72476761168163,2.72366369937155,2.73963672064713
8,3,3.32104055148322,3.35811383246137,3.32080870368372
8,4,4.09469314425553,4.08981195327658,4.10015570972483
8,5,5.01868106897933,5.03010255469017,5.00994728483421
8,6,5.99873099934194,6.02553010904657,6.04983545026234
8,7,7.00787197341599,6.98119802111703,6.98272824198028
8,8,8.01114105741392,8.00381758364661,7.9877506888415
